"day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures"
"420;1566;1135;583;999;0;999;26"
"421;1568;1139;581;999;0;999;27"
"422;1570;1141;582;999;0;999;26"
"423;1572;1151;586;1000;0;1000;20"
"424;1572;1147;588;1000;0;1000;18"
"425;1576;1142;587;999;0;999;23"
"426;1577;1140;587;999;0;999;24"
"427;1576;1145;588;1000;0;1000;25"
"428;1577;1145;588;999;0;999;24"
"429;1577;1145;588;999;0;999;27"
"430;1575;1148;585;999;0;999;26"
"431;1574;1148;586;1000;0;1000;25"
"432;1574;1145;588;999;0;999;28"
"433;1573;1140;590;999;0;999;26"
"434;1575;1138;589;999;0;999;22"
"435;1576;1140;590;999;0;999;24"
"436;1575;1145;590;1000;0;1000;25"
"437;1578;1148;587;999;0;999;19"
"438;1579;1149;587;999;0;999;19"
"439;1579;1151;588;1000;0;1000;20"
"440;1578;1151;591;999;0;999;22"
"441;1578;1154;590;999;0;999;23"
"442;1580;1155;589;1000;0;1000;25"
"443;1580;1159;589;999;0;999;27"
"444;1579;1162;591;999;0;999;23"
"445;1580;1163;592;999;0;999;24"
"446;1583;1165;591;999;0;999;22"
"447;1583;1160;594;999;0;999;22"
"448;1582;1158;594;1000;0;1000;18"
"449;1579;1161;592;1000;0;1000;21"
"450;1576;1159;592;1000;0;1000;20"
"451;1574;1169;590;1000;0;1000;21"
"452;1575;1173;588;999;0;999;24"
"453;1578;1177;589;1000;0;1000;25"
"454;1580;1183;585;999;0;999;23"
"455;1581;1176;585;999;0;999;23"
"456;1578;1184;583;999;0;999;26"
"457;1579;1177;583;1000;0;1000;20"
"458;1579;1176;584;1000;0;1000;21"
"459;1578;1176;585;999;0;999;26"
"460;1575;1180;583;999;0;999;26"
"461;1577;1183;584;999;0;999;19"
"462;1578;1185;585;1000;0;1000;20"
"463;1578;1182;587;999;0;999;19"
"464;1580;1184;588;1000;0;1000;21"
"465;1582;1188;591;999;0;999;23"
"466;1582;1193;590;999;0;999;23"
"467;1582;1194;593;999;0;999;19"
"468;1583;1193;591;999;0;999;19"
"469;1585;1195;590;1000;0;1000;20"
"470;1586;1204;587;1000;0;1000;20"
"471;1587;1206;587;1000;0;1000;21"
"472;1587;1204;589;999;0;999;22"
"473;1587;1214;587;1000;0;1000;20"
"474;1587;1217;585;999;0;999;19"
"475;1586;1212;583;1000;0;1000;20"
"476;1586;1222;581;999;0;999;19"
"477;1586;1223;578;1000;0;1000;18"
"478;1585;1229;577;1000;0;1000;20"
"479;1585;1226;579;999;0;999;19"
"480;1585;1220;575;1000;0;1000;20"
"481;1583;1214;577;1000;0;1000;16"
"482;1585;1211;574;999;0;999;15"
"483;1585;1208;572;999;0;999;19"
"484;1586;1203;574;1000;0;1000;21"
"485;1588;1208;575;999;0;999;23"
"486;1589;1212;574;1000;0;1000;21"
"487;1590;1208;573;999;0;999;24"
"488;1589;1207;574;1000;0;1000;20"
"489;1588;1210;572;1000;0;1000;20"
"490;1590;1216;571;1000;0;1000;20"
"491;1593;1216;568;1000;0;1000;20"
"492;1594;1220;567;1000;0;1000;17"
"493;1595;1213;565;999;0;999;19"
"494;1596;1212;568;1000;0;1000;18"
"495;1597;1211;569;1000;0;1000;18"
"496;1598;1205;570;1000;0;1000;18"
"497;1597;1210;571;999;0;999;19"
"498;1595;1210;570;1000;0;1000;17"
"499;1596;1207;569;1000;0;1000;17"
"500;1594;1201;571;1000;0;1000;21"
"501;1589;1199;571;1000;0;1000;21"
"502;1587;1201;571;1000;0;1000;20"
"503;1587;1203;570;999;0;999;22"
"504;1589;1202;570;999;0;999;22"
"505;1587;1198;570;1000;0;1000;20"
"506;1589;1197;571;1000;0;1000;20"
"507;1588;1198;573;1000;0;1000;21"
"508;1585;1201;572;999;0;999;23"
"509;1581;1199;572;999;0;999;22"
"510;1582;1203;571;1000;0;1000;20"
"511;1583;1204;570;999;0;999;19"
"512;1584;1206;570;999;0;999;22"
"513;1580;1207;573;1000;0;1000;20"
"514;1583;1209;573;1000;0;1000;18"
"515;1587;1209;575;1000;0;1000;21"
"516;1586;1213;575;999;0;999;19"
"517;1579;1216;573;1000;0;1000;20"
"518;1574;1218;574;1000;0;1000;20"
"519;1578;1217;576;999;0;999;19"
"520;1576;1216;577;1000;0;1000;16"
"521;1568;1220;577;999;0;999;19"
"522;1566;1221;578;1000;0;1000;20"
"523;1561;1221;575;999;0;999;19"
"524;1560;1218;570;999;0;999;19"
"525;1560;1215;569;1000;0;1000;18"
"526;1561;1216;568;999;0;999;19"
"527;1562;1216;565;1000;0;1000;21"
"528;1558;1217;561;1000;0;1000;21"
"529;1554;1217;563;1000;0;1000;21"
"530;1555;1214;565;1000;0;1000;18"
"531;1551;1216;560;1000;0;1000;21"
"532;1555;1213;558;1000;0;1000;20"
"533;1556;1213;558;1000;0;1000;20"
"534;1563;1221;562;999;0;999;22"
"535;1564;1225;562;1000;0;1000;20"
"536;1563;1226;560;1000;0;1000;18"
"537;1563;1224;558;1000;0;1000;21"
"538;1560;1231;555;1000;0;1000;18"
"539;1563;1235;557;1000;0;1000;17"
